product,Color,SIZE,Type/ Model,,catagory,SKU,סוג,שם,תיאור,במלאי?,מלאי,מחיר רגיל,קטגוריות,תגיות,Images,שיוך 1 שמות,שיוך 1 ערכים,אב,שיוך 1 פריטים גלובליים
BG,BU,16,SA,BOXING GLOVES,,BGSA-BU-16,variation,"SUPER AIR blue,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-BU.jpg,weight,16OZ,BGSA-BU,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BG-SA-RD,variable,"SUPER AIR red,כפפות איגרוף עור","כפפות האגרוף מסדרת SUPER AIR עשויות עור מלא בעבודת יד, בעלות רשת אוורור",0,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-RD.jpg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,RD,8,SA,BOXING GLOVES,,BGSA-RD-8,variation,"SUPER AIR red,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-RD.jpg,weight,8OZ,BGSA-RD,1
BG,RD,10,SA,BOXING GLOVES,,BGSA-RD-10,variation,"SUPER AIR red,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-RD.jpg,weight,10OZ,BGSA-RD,1
BG,RD,12,SA,BOXING GLOVES,,BGSA-RD-12,variation,"SUPER AIR red,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-RD.jpg,weight,12OZ,BGSA-RD,1
BG,RD,14,SA,BOXING GLOVES,,BGSA-RD-14,variation,"SUPER AIR red,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-RD.jpg,weight,14OZ,BGSA-RD,1
BG,RD,16,SA,BOXING GLOVES,,BGSA-RD-16,variation,"SUPER AIR red,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2020/12/BGSA-RD.jpg,weight,16OZ,BGSA-RD,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BGSA-BKWHRD,variable,"SUPER AIR black white red,כפפות איגרוף עור","כפפות האגרוף מסדרת SUPER AIR עשויות עור מלא בעבודת יד, בעלות רשת אוורור",1,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-213.jpeg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,BKWHRD,8,SA,BOXING GLOVES,,BGSA-BKWHRD-8,variation,"SUPER AIR black white red,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-213.jpeg,weight,8OZ,BGSA-WHBKRD,1
BG,BKWHRD,10,SA,BOXING GLOVES,,BGSA-BKWHRD-10,variation,"SUPER AIR black white red,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-213.jpeg,weight,10OZ,BGSA-WHBKRD,1
BG,BKWHRD,12,SA,BOXING GLOVES,,BGSA-BKWHRD-12,variation,"SUPER AIR black white red,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-213.jpeg,weight,12OZ,BGSA-WHBKRD,1
BG,BKWHRD,14,SA,BOXING GLOVES,,BGSA-BKWHRD-14,variation,"SUPER AIR black white red,כפפות איגרוף עור",,1,9,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSA-213.jpeg,weight,14OZ,BGSA-WHBKRD,1
